filename,combo,precinct_num,precinct_name,party,governor_vote
Pre_024-Habersham North-1267.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-3470.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4479.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-0179.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-1501.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2949.tif,024,01,Habersham North,Dem,Keisha Lance Bottoms
Pre_024-Habersham North-4492.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2008.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-0192.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2785.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2791.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-4486.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-0186.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-1298.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2975.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-0804.tif,024,01,Habersham North,Dem,Geoff Duncan
Pre_024-Habersham North-0810.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0838.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-2961.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0353.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2236.tif,024,01,Habersham North,Dem,Michael ”Mike” Thurmond
Pre_024-Habersham North-4135.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3882.tif,024,01,Habersham North,Rep,Chris Carr
Pre_024-Habersham North-2544.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-2222.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0435.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-0421.tif,024,01,Habersham North,Rep,Rick Jackson
Pre_024-Habersham North-4121.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3128.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-3896.tif,024,01,Habersham North,Rep,Burt Jones
Pre_024-Habersham North-2550.tif,024,01,Habersham North,Rep,BLANK CONTEST
Pre_024-Habersham North-1059.tif,024,01,Habersham North,Rep,Brad Raffensperger
Pre_024-Habersham North-3666.tif,024,01,Habersham North,Rep,Rick Jackson
